hanji,lomaji
逐家咧開講，講甲笑咍咍。,"Ta̍k-ke teh khai-káng, kóng kah tshiò-hai-hai. "
服侍神明,ho̍k-sāi sîn-bîng
伊是一个笑面虎，你著愛注意！,"I sī tsi̍t ê tshiò-bīn-hóo, lí tio̍h ài tsù-ì! "
伊最近無笑容，敢若有心事咧。,"I tsuè-kīn bô tshiò-iông, kánn-ná ū sim-sū--leh. "
伊看甲神神。,I khuànn kah sîn-sîn. 
準時納稅是納稅義務人的義務。,Tsún-sî la̍p-suè sī la̍p-suè gī-bū jîn ê gī-bū. 
阮表兄欲娶某矣，阮欲去共伊祝賀。,"Guán piáu-hiann beh tshuā-bóo--ah, guán beh khì kā i tsiok-hō. "
你是咧神經是無？,Lí sī teh sîn-king sī--bô? 
伊最近有淡薄仔神經衰弱。,I tsuè kīn ū tām-po̍h-á sîn-king sue-jio̍k. 
咱人做代誌著愛有站節。,Lán lâng tsò tāi-tsì tio̍h ài ū tsām-tsat. 
講笑話,kóng tshiò-uē
講話愛有站節，毋通笑話講規擔。,"Kóng-uē ài ū tsām-tsat, m̄-thang tshiò-uē kóng kui tànn. "
伊愛講笑詼，予逐家聽甲笑咍咍。,"I ài kóng tshiò-khue, hōo ta̍k-ke thiann kah tshiò-hai-hai. "
伊的人真笑詼。,I ê lâng tsin tshiò-khue. 
祝福你幸福美滿。,Tsiok-hok lí hīng-hok bí-buán. 
我予你驚一下險險仔無神魂。,Guá hōo lí kiann tsi̍t-ē hiám-hiám-á bô sîn-hûn. 
生理人秤頭愛有夠，生理才做會久。,"Sing-lí-lâng tshìn-thâu ài ū-kàu, sing-lí tsiah tsò ē kú. "
伊不時攏笑頭笑面，看起來誠好鬥陣。,"I put-sî lóng tshiò-thâu-tshiò-bīn, khuànn--khí-lâi tsiânn hó tàu-tīn. "
純金,sûn-kim
這味藥仔的藥性較純。,Tsit bī io̍h-á ê io̍h-sìng khah sûn. 
純然,sûn-jiân
單純,tan-sûn
紗仔,se-á
棉紗,mî-se
階級,kai-kip
這塊布真素，無啥物花草。,"Tsit tè pòo tsin sòo, bô siánn-mih hue-tsháu. "
素素,sòo-sòo
我食素無食臊。,Guá tsia̍h sòo bô tsia̍h tsho. 
素食,sòo-si̍t
素面,sòo-bīn
平素時,pîng-sòo sî
素日,sòo ji̍t
原素,guân-sòo
因素,in-sòo
紡紗,pháng-se
電風紡足緊。,Tiān-hong pháng tsiok kín. 
這聲代誌歹紡矣。,Tsit-siann tāi-tsì pháinn pháng--ah. 
麻索,muâ-soh
彼个水缸缺一大缺。,Hit ê tsuí-kng khih tsi̍t tuā khih. 
破兩缺,phuà nn̄g khih
缺點,khuat-tiám
欠缺,khiàm-khueh
這个缺頂個月有人補矣。,Tsit ê khueh tíng kò gue̍h ū-lâng póo--ah. 
牽罟,khan-koo
罟魚,koo hî
我提杓仔共麵罟起來。,Guá thê sia̍h-á kā mī koo--khí-lâi. 
伊的囡仔予人罟去飼矣。,I ê gín-á hōo lâng koo khì tshī--ah. 
竹耙,tik-pê
共草仔耙倚來。,Kā tsháu-á pê uá--lâi. 
牛犁耙，無半項會。,"Gû lê pē, bô-puànn-hāng ē. "
𤶃仔胮起來矣。,Thiāu-á hàng--khí-lâi--ah. 
胸坎,hing-khám
心胸,sim-hing
討海人用罟仔掠魚。,Thó-hái-lâng īng koo-á lia̍h hî. 
胳下空較𠢕流汗。,Koh-ē-khang khah gâu lâu kuānn. 
我的胸坎實實，人真無爽快。,"Guá ê hing-khám tsa̍t-tsa̍t, lâng tsin bô sóng-khuài. "
這塊盤仔有缺角。,Tsit tè puânn-á ū khih-kak. 
你去提寡紙坯來做紙盒仔。,Lí khì the̍h kuá tsuá-phue lâi tsò tsuá-a̍p-á. 
咱會當用紙枋來做紙箱仔。,Lán ē-tàng iōng tsuá-pang lâi tsò tsuá-siunn-á. 
𪜶翁某攏誠有才情。,In ang-bóo lóng tsiânn ū tsâi-tsîng. 
彼塊素面的布看起來較清爽。,Hit tè sòo-bīn ê pòo khuànn--khí-lâi khah tshing-sóng. 
素食對身體有好無䆀。,Sòo-si̍t tuì sin-thé ū hó bô bái. 
伊素食毋捌超過三工。,I sòo-si̍t m̄ bat tshiau-kuè sann kang. 
有的學校會教學生紡紗。,Ū-ê ha̍k-hāu ē kà ha̍k-sing pháng-se. 
點胭脂,tiám ian-tsi
𪜶翁是缺喙的。,In ang sī khih-tshuì--ê. 
我是純然來看你的。,Guá sī sûn-jiân lâi khuànn--lí--ê. 
用紙篋仔貯糖仔餅。,Īng tsuá-kheh-á té thn̂g-á-piánn. 
無能,bû-lîng
萬能,bān-lîng
哽胿,kénn kui
頷胿,ām-kui
這粒棗仔真脆。,Tsit lia̍p tsó-á tsin tshè. 
筋脈,kin-me̍h
葉脈,hio̍h-me̍h
山脈,suann-me̍h
節脈,tsat-me̍h
臭汗酸,tshàu-kuānn-sng
舀水,iúnn-tsuí
狗仔共碗舐甲足清氣的。,Káu-á kā uánn tsīnn kah tsiok tshing-khì--ê. 
彼塊餅予胡蠅舐過，毋通食矣！,"Hit tè piánn hōo hôo-sîn tsn̄g--kuè, m̄-thang tsia̍h--ah! "
茈薑,tsínn-kiunn
伊的年歲有較茈。,I ê nî-huè ū khah tsínn. 
伊猶閣傷茈，所以無啥物經驗。,"I iáu-koh siunn tsínn, sóo-í bô siánn-mih king-giām. "
袂曉啉酒閣啉並濟的，這馬咧茫矣乎？,"Bē-hiáu lim-tsiú koh lim phīng tsē--ê, tsit-má teh bâng--ah--honnh? "
人海茫茫,jîn-hái bông-bông
白茫茫,pe̍h-bông-bông
烏龍茶,oo-liông-tê
麵茶,mī-tê
草仔,tsháu-á
市草,tshī-tsháu
漢草,hàn-tsháu
花草,hue-tsháu
這字傷草。,Tsit jī siunn tshó. 
草案,tshó-àn
草書,tshó-su
舀水洗身軀,iúnn-tsuí sé sin-khu
菜煮甲臭火焦去。,Tshài tsú kah tshàu-hué-ta--khì. 
你敢有鼻著臭火燒味？,Lí kám ū phīnn-tio̍h tshàu-hué-sio bī? 
你敢有鼻著臭火薰味？,Lí kám ū phīnn-tio̍h tshàu-hué-hun bī? 
伊講話臭奶呆，我聽攏無。,"I kóng-uē tshàu-ling-tai, guá thiann lóng bô. "
伊對草地起來都市。,I tuì tsháu-tē khí-lâi too-tshī. 
伊生做遮爾臭老，實在看袂出講才二十歲爾爾。,"I senn-tsò tsiah-nī tshàu-lāu, si̍t-tsāi khuànn bē tshut kóng tsiah jī-tsa̍p huè niā-niā. "
身軀臭汗酸,sin-khu tshàu-kuānn-sng
無，你是臭耳聾是無？,"Bô, lí sī tshàu-hīnn-lâng sī--bô? "
伊著第一名了後，變甲足臭屁。,"I tio̍h tē-it miâ liáu-āu, pìnn kah tsiok tshàu-phuì. "
這領尿苴仔臭尿薟誠重。,Tsit niá jiō-tsū-á tshàu-jiō-hiam tsiânn tāng. 
初六舀肥。,Tshe-la̍k iúnn-puî. 
你莫激一个臭面予我看。,Lí mài kik tsi̍t ê tshàu-bīn hōo guá khuànn. 
肉若囥久會臭風去。,Bah nā khǹg kú ē tshàu-hong--khì. 
這罐蔭豉仔已經臭殕矣。,Tsit kuàn ìm-sīnn-á í-king tshàu-phú--ah. 
遮的豆酺有臭殕味。,Tsia-ê tāu-pôo ū tshàu-phú bī. 
魚仔煎甲臭焦就無好食矣。,Hî-á tsian kah tshàu-ta tō bô hó-tsia̍h--ah. 
這擺的投資摃龜，規个家伙攏臭焦去矣。,"Tsit pái ê tâu-tsu kòng-ku, kui-ê ke-hué lóng tshàu-ta--khì--ah. "
阿三仔誠臭煬，講家己外𠢕拄外𠢕。,"A sam--á tsiânn tshàu-iāng, kóng ka-kī guā gâu tú guā gâu. "
這盤豆仔炒無熟，足臭腥。,"Tsit puânn tāu-á tshá bô si̍k, tsiok tshàu-tshènn. "
你入門我就鼻著你的臭跤液味，緊去共跤洗洗咧！,"Lí ji̍p-mn̂g guá tō phīnn-tio̍h lí ê tshàu-kha-sio̍h bī, kín khì kā kha sé-sé--leh! "
你先去共草蓆仔舒予伊好才去睏。,Lí sing khì kā tsháu-tshio̍h-á tshu hōo i hó tsiah khì khùn. 
這塊肉敢若臭酸去，無，哪會味怪怪？,"Tsit tè bah kánn-ná tshàu-sng--khì, bô, ná ē bī kuài-kuài? "
聽你咧臭彈，我就毋相信你有佮總統食飯過。,"Thiann lí teh tshàu-tuānn, guá tō m̄ siong-sìn lí ū kah tsóng-thóng tsia̍h pn̄g--kuè. "
你去共茶盤洗清氣。,Lí khì kā tê-puânn sé tshing-khì. 
飼金魚仔愛有草蔬。,Tshī kim-hî-á ài ū tsháu-se. 
伊的品行誠䆀，誠臭賤。,"I ê phín-hīng tsiânn bái, tsiânn tshàu-tsiān. "
鳳尾草雖然臭賤，毋過若是熱著的時，共伊煎來做茶啉嘛誠有效。,"Hōng-bué-tsháu sui-jiân tshàu-tsiān, m̄-koh nā-sī jua̍h--tio̍h ê sî, kā i tsuann lâi tsò tê lim mā tsiânn ū-hāu. "
伊予眾人罵甲臭頭。,I hōo tsìng-lâng mē kah tshàu-thâu. 
咱來去茶館啉茶開講。,Lán lâi-khì tê-kuán lim tê khai-káng. 
伊共錢拍無去，去予阿母罵甲若臭頭雞仔。,"I kā tsînn phah-bô--khì, khì hōo a-bú mē kah ná tshàu-thâu-ke-á. "
這尾魚真臭臊。,Tsit bué hî tsin tshàu-tsho. 
便所臭薟薟，予人鼻著強欲擋袂牢。,"Piān-sóo tshàu-hiam-hiam, hōo lâng phīnn-tio̍h kiōng-beh tòng bē tiâu. "
你的身體傷荏矣。,Lí ê sin-thé siunn lám--ah. 
這塊桌仔足荏的。,Tsit tè toh-á tsiok lám--ê. 
拋荒,pha-hng
今仔日真衰。,Kin-á-ji̍t tsin sue. 
毋通予人看衰。,M̄-thang hōo lâng khuànn-sue. 
袂曉,bē-hiáu
袂講得,bē-kóng--tit
我閣較衰䆀，嘛袂去揣伊鬥相共。,"Guá koh-khah sue-bái, mā bē khì tshuē i tàu-sann-kāng. "
伊做人袂䆀。,I tsò-lâng bē-bái. 
伊做人袂歹。,I tsò-lâng bē pháinn. 
塑膠杯仔小可摔一下袂歹。,Sok-ka pue-á sió-khuá siak--tsi̍t-ē bē pháinn. 
落雨天袂用得去溪邊𨑨迌！,Lo̍h-hōo-thinn bē-īng-tit khì khe-pinn tshit-thô! 
你昨昏買的彼支筆袂用得。,Lí tsa-hng bé--ê hit ki pit bē-īng--tit. 
𪜶兩个袂合。,In nn̄g ê bē ha̍h. 
這件代誌予伊舞甲攏袂收山。,Tsit kiānn tāi-tsì hōo i bú kah lóng bē-siu-suann. 
我今仔日哪會遮衰尾！,Guá kin-á-ji̍t ná ē tsiah sue-bué! 
伊真荏身，磕袂著就破病。,"I tsin lám-sin, kha̍p-bē-tio̍h tō phuà-pēnn. "
你這个袂見笑的，竟然敢閣來揣我。,"Lí tsit ê bē-kiàn-siàu--ê, kìng-jiân kánn koh lâi tshuē--guá. "
你袂使佮伊出去𨑨迌！,Lí bē-sái kah i tshut-khì tshit-thô! 
這搭的路面頭拄仔才鞏的，你袂使得烏白踏。,"Tsit tah ê lōo-bīn thâu-tú-á tsiah khōng--ê, lí bē-sái-tit oo-pe̍h ta̍h. "
𪜶兩人袂和。,In nn̄g lâng bē-hô. 
這款的買賣我袂和啦。,Tsit khuán ê bé-bē guá bē-hô--lah. 
我才啖一下爾爾就袂直矣，你閣敢共伊規个吞落去喔？,"Guá tsiah tam--tsi̍t-ē niā-niā tō bē-ti̍t--ah, lí koh kánn kā i kui-ê thun--lo̍h-khì--ooh? "
共伊講一句，按呢就袂直矣。,"Kā i kóng--tsi̍t-kù, án-ne tō bē-ti̍t--ah. "
世間上有真濟代誌是袂按算的。,Sè-kan-siōng ū tsin tsē tāi-tsì sī bē àn-sǹg--ê. 
車咧欲開矣，你若無較緊咧就袂赴矣。,"Tshia teh-beh khui--ah, lí nā bô khah kín--leh tō bē-hù--ah. "
伊煩惱甲袂食袂睏。,I huân-ló kah bē-tsia̍h-bē-khùn. 
有誠濟過去的代誌，我攏袂記得矣。,"Ū tsiânn tsē kuè-khì ê tāi-tsì, guá lóng bē-kì--tit--ah. "
因為伊愛去讀冊，所以袂得通去𨑨迌。,"In-uī i ài khì tha̍k-tsheh, sóo-í bē-tit-thang khì tshit-thô. "
伊的生活真袂得過。,I ê sing-ua̍h tsin bē-tit kuè. 
行袂得過。,Kiânn bē-tit kuè. 
我心肝內感覺對伊真袂得過。,Guá sim-kuann-lāi kám-kak tuì i tsin bē-tit kuè. 
你毋好閣共伊刺激矣，我驚伊會袂堪得。,"Lí m̄-hó koh kā i tshì-kik--ah, guá kiann i ē bē-kham--tit. "
你若毋較緊咧，咱就袂當看著伊矣。,"Lí nā m̄ khah kín--leh, lán tō bē-tàng khuànn-tio̍h-i--ah. "
少年放蕩，荒廢學業，真毋值。,"Siàu-liân hòng-tōng, hong-huì ha̍k-gia̍p, tsin m̄ ta̍t. "
揣頭路揣規月日攏揣無，我哪會遮衰潲。,"Tshuē thâu-lōo tshuē kui gue̍h-ji̍t lóng tshuē-bô, guá ná ē tsiah sue-siâu. "
我較按怎想都想袂曉，伊是按怎欲按呢做。,"Guá khah án-tsuánn siūnn to siūnn bē-hiáu, i sī-án-tsuánn beh án-ne tsò. "
伊看著我袂輸看著鬼咧。,I khuànn-tio̍h guá bē-su khuànn-tio̍h kuí--leh. 
你的意思，袂輸講是我做毋著。,"Lí ê ì-sù, bē-su-kóng sī guá tsò m̄-tio̍h. "
伊真固執，予人袂講得。,"I tsin kòo-tsip, hōo lâng bē-kóng--tit. "
彼个查某囡仔袂講得媠。,Hit ê tsa-bóo gín-á bē-kóng-tit suí. 
佮伊講話，見講嘛講袂伸捙。,"Kah i kóng-uē, kiàn kóng mā kóng bē-tshun-tshia. "
伊有夠荏懶的，規禮拜攏無洗身軀。,"I ū-kàu lám-nuā--ê, kui lé-pài lóng bô sé sin-khu. "
你若欲報數，就愛會記得討收據。,"Lí nā beh pò-siàu, tō ài ē-kì-tit thó siu-kì. "
討欲愛,thó beh ài
討契兄,thó-khè-hiann
你共我記咧。,Lí kā guá kì--leh. 
共伊的名記落來。,Kā i ê miâ kì--lo̍h-lâi. 
貪財,tham-tsâi
起厝,khí-tshù
五日節若到，秫米就起大價。,"Gōo-ji̍t-tseh nā kàu, tsu̍t-bí tō khí-tuā-kè. "
起人做歹。,Khí lâng tsò-pháinn. 
對今仔日起，咱就是翁仔某矣。,"Tuì kin-á-ji̍t khí, lán tō-sī ang-á-bóo--ah. "
起跤動手,khí-kha-tāng-tshiú
起痟,khí-siáu
行起去,kiânn--khí-khì
走起來,tsáu--khí-lâi
兩斤較起,nn̄g kin khah khí
買會起,bé ē khí
食袂起,tsia̍h bē khí
伊的人就是一條腸仔迵尻川，無啥物心機。,"I ê lâng tō sī tsi̍t tiâu tn̂g-á thàng kha-tshng, bô siánn-mih sim-ki. "
你毋通跋筊跋了傷迷。,Lí m̄-thang pua̍h-kiáu pua̍h liáu siunn bê. 
伊去予隔壁的阿美仔迷去矣。,I khì hōo keh-piah ê A-bí--á bê--khì--ah. 
我迸矣！,Guá piàng--ah! 
彼陣人講無三句話就起迸矣。,Hit tīn lâng kóng bô sann kù uē tō khí piàng--ah. 
欲走去矣，緊追！,"Beh tsáu--khì--ah, kín tui! "
追查某囡仔。,Tui tsa-bóo gín-á. 
追求,tui-kiû
倒退,tò-thè
退出,thè-tshut
退燒,thè-sio
退火,thè-hué
退租,thè tsoo
相送,sio-sàng
送禮,sàng-lé
送貨,sàng huè
送報紙,sàng pò-tsuá
逃避,tô-pī
逃走,tô-tsáu
逆天行事,gi̍k thian hîng-sū
逆境,gi̍k-kíng
伊予𪜶囝逆一下中風。,I hōo in kiánn gi̍k tsi̍t-ē tiòng-hong. 
彼隻豬哥閣咧起𪁎矣。,Hit tsiah ti-ko koh teh khí-tshio--ah. 
你真正欲共彼个遐𠢕討人情的人鬥相共？,Lí tsin-tsiànn beh kā hit ê hiah gâu thó-jîn-tsîng ê lâng tàu-sann-kāng? 
禮拜𪜶欲共𪜶老爸送上山。,Lé-pài in beh kā in lāu-pē sàng-tsiūnn-suann. 
財子壽，三字全。,"Tsâi-tsú-siū, sann jī tsuân. "
起手無回大丈夫，這步棋行了就袂當後悔矣。,"Khí-tshiú bô huê tāi-tiōng-hu, tsit pōo kî kiânn-liáu tō bē-tàng hiō-hué--ah. "
起手我就知影伊是歹人矣。,Khí-tshiú guá tō tsai-iánn i sī pháinn-lâng--ah. 
起毛䆀,khí-moo-bái
你實在真逆天，予你食肉閣嫌。,"Lí si̍t-tsāi tsin gi̍k-thinn, hōo lí tsia̍h bah koh hiâm. "
是啥物代誌予伊起毛䆀？,Sī siánn-mih tāi-tsì hōo i khí-moo bái? 
連紲攏考一百分，有夠起毛婸。,"Liân-suà lóng khó tsi̍t-pah hun, ū-kàu khí-moo giang. "
阮欲開始起火來烘肉矣。,Guán beh khai-sí khí-hué lâi hang bah--ah. 
青草茶真退火。,Tshenn-tsháu tê tsin thè-hué. 
大財主,tuā tsâi-tsú
我看你是咧討皮疼啦。,Guá khuànn lí sī teh thó-phuê-thiànn--lah. 
我才無欲討皮疼咧。,Guá tsiah bô beh thó-phuê-thiànn--leh. 
冷凍的魚仔提出來退冰。,Líng-tòng ê hî-á the̍h tshut-lâi thè-ping. 
生理做了有起色。,Sing-lí tsò liáu ū khí-sik. 
這幫車連鞭就欲起行矣。,Tsit pang tshia liâm-mi tō beh khí-kiânn--ah. 
衫仔褲曝日較𠢕退色。,Sann-á-khòo pha̍k-ji̍t khah gâu thè-sik. 
閣毋起床，你會袂赴。,"Koh m̄ khí-tshn̂g, lí ē bē-hù. "
逐个人攏愛拍拚追求家己的目標。,Ta̍k ê lâng lóng ài phah-piànn tui-kiû ka-kī ê bo̍k-piau. 
你這過的成績有淡薄仔退步。,Lí tsit-kuè ê sîng-tsik ū tām-po̍h-á thè-pōo. 
伊又閣咧起狂矣。,I iū-koh teh khí-kông--ah. 
法官當咧追究失事的責任。,Huat-kuann tng-teh tui-kiù sit-sū ê tsik-jīm. 
伊已經逃走矣。,I í-king tô-tsáu--ah. 
伊閣咧起事矣。,I koh teh khí-sū--ah. 
日頭曝尻川矣，你猶毋緊起來！,"Ji̍t-thâu pha̍k kha-tshng--ah, lí iáu m̄ kín khí--lâi! "
你緊起來看一下。,Lí kín khí-lâi khuànn--tsi̍t-ē. 
伊後日欲起來臺北。,I āu--ji̍t beh khí-lâi Tâi-pak. 
這件代誌看起來袂䆀。,Tsit kiānn tāi-tsì khuànn--khí-lâi bē-bái. 
遐的殺人犯敢講攏毋驚冤魂來討命？,Hia-ê sat-jîn-huān kám-kóng lóng m̄ kiann uan-hûn lâi thó-miā? 
伊耍甲一半煞起呸面。,I sńg kah tsi̍t-puànn suah khí-phuì-bīn. 
𪜶兩个已經退定矣。,In nn̄g ê í-king thè-tiānn--ah. 
伊已經去阿玉仔𪜶兜送定矣。,I í-king khì A-gio̍k-á in tau sàng-tiānn--ah. 
磕袂著就欲起性地，啥人閣敢和你做伙？,"Kha̍p-bē-tio̍h tō beh khí-sìng-tē, siánn-lâng koh kánn hām lí tsò-hué? "
公司無趁錢，真濟股東攏想欲退股。,"Kong-si bô thàn-tsînn, tsin tsē kóo-tong lóng siūnn-beh thè-kóo. "
𪜶大家足𠢕訕削人。,In ta-ke tsiok gâu suān-siah--lâng. 
你按呢敢袂傷過頭迷信矣？,Lí án-ne kám bē siunn kuè-thâu bê-sìn--ah? 
阿滿仔討契兄，去予𪜶翁㨑著。,"A-buán--á thó-khè-hiann, khì hōo in ang tsang--tio̍h. "
你小退後一下。,Lí sió thè-āu--tsi̍t-ē. 
彼个乞食婆攏四界去討食。,Hit ê khit-tsia̍h-pô lóng sì-kè khì thó-tsia̍h. 
咱遮較無通討食。,Lán tsia khah bô-thang thó-tsia̍h. 
起風矣，欲變天矣。,"Khí-hong--ah, beh piàn-thinn--ah. "
𪜶家己買地來起厝。,In ka-kī bé tē lâi khí-tshù. 
食雞，會起家；食鰇魚，生囡仔好育飼。,"Tsia̍h ke, ē khí-ke; tsia̍h jiû-hî, senn gín-á hó io-tshī. "
伊是做塑膠起家的。,I sī tsò sok-ka khí-ke--ê. 
我討海已經有三十年矣。,Guá thó-hái í-king ū sann-tsa̍p nî--ah. 
伊猶未退酒，你莫去共伊吵。,"I iáu-buē thè-tsiú, lí mài khì kā i tshá. "
伊閣咧起無空矣。,I koh teh khí-bô-khang--ah. 
恁是咧起痟呢？遐爾仔寒閣欲去泅水。,Lín sī teh khí-siáu--nih? Hiah-nī-á kuânn koh beh khì siû-tsuí. 
彼隻豬母閣咧起痟矣。,Hit tsiah ti-bó koh teh khí-siáu--ah. 
童乩起童,tâng-ki khí-tâng
彼个童乩退童了後，規身軀攏無力啦。,"Hit ê tâng-ki thè-tâng liáu-āu, kui-sin-khu lóng bô la̍t--lah. "
人若是欲食毋討趁，註定是一世人抾捔啦。,"Lâng nā-sī beh tsia̍h m̄ thó-thàn, tsù-tiānn sī tsi̍t-sì-lâng khioh-ka̍k--lah. "
話講無幾句，伊就起雄矣。,"Uē kóng bô kuí kù, i tō khí-hiông--ah. "
伊食物件有夠討債，定定賰一半就欲挕捒。,"I tsia̍h mi̍h-kiānn ū-kàu thó-tsè, tiānn-tiānn tshun tsi̍t-puànn tō beh hìnn-sak. "
伊心頭迷亂。,I sim-thâu bê-luān. 
𪜶兜的財產攏予伊這个討債囝敗了矣。,In tau ê tsâi-sán lóng hōo i tsit ê thó-tsè-kiánn pāi-liáu--ah. 
送嫁較媠新娘。,Sàng-kè khah suí sin-niû. 
較緊咧，船欲起碇矣。,"Khah kín--leh, tsûn beh khí-tiānn--ah. "
起落車愛細膩。,Khí-lo̍h-tshia ài sè-jī. 
隨人的物件，隨人做記號。,"Suî lâng ê mi̍h-kiānn, suî lâng tsò kì-hō. "
好好仔講就好，毋通按呢起跤動手。,"Hó-hó-á kóng tō hó, m̄-thang án-ne khí-kha-tāng-tshiú. "
伊的指頭仔去予電鑽鑽迵過。,I ê tsíng-thâu-á khì hōo tiān-tsǹg tsǹg thàng--kuè. 
看迵過,khuànn thàng--kuè
欲起鼓矣。,Beh khí-kóo--ah. 
我足討厭伊，見擺看著伊攏無想欲佮伊相借問。,"Guá tsiok thó-ià--i, kiàn-pái khuànn-tio̍h i lóng bô siūnn-beh kah i sio-tsioh-mn̄g. "
經過一個月了後，伊才追認𪜶囝的結婚。,"King-kuè tsi̍t kò gue̍h liáu-āu, i tsiah tui-jīn in kiánn ê kiat-hun. "
風颱了後逐項菜攏起價矣。,Hong-thai liáu-āu ta̍k hāng tshài lóng khí-kè--ah. 
連鞭仔就有人欲來共伊討數矣。,Liâm-mi-á tō ū-lâng beh lâi kā i thó-siàu--ah. 
無紮錢，予你先記數。,"Bô tsah tsînn, hōo lí sing kì-siàu. "
伊逐工記數。,I ta̍k kang kì-siàu. 
伊按呢共你訕潲，你敢袂艱苦？,"I án-ne kā lí suān-siâu, lí kám bē kan-khóo? "
伊藥仔食落去有漸漸仔退熱矣。,I io̍h-á tsia̍h--lo̍h-khì ū tsiām-tsiām-á thè-jia̍t--ah. 
這尾魚仔起碼有三斤。,Tsit bué hî-á khí-má ū sann kin. 
拄著問題愛揣人討論。,Tú-tio̍h būn-tê ài tshuē lâng thó-lūn. 
囡仔共大人討錢去買枝仔冰。,Gín-á kā tuā-lâng thó-tsînn khì bé ki-á-ping. 
烏道的來討錢啦。,Oo-tō--ê lâi thó-tsînn--lah. 
欲做學問，起頭著愛共基礎拍予伊好。,"Beh tsò ha̍k-būn, khí-thâu tio̍h ài kā ki-tshóo phah hōo i hó. "
這藥仔抹落去，真緊就會退癀矣。,"Tse io̍h-á buah--lo̍h-khì, tsin kín tō ē thè-hông--ah. "
你按呢一直逃避，嘛毋是辦法。,"Lí án-ne it-ti̍t tô-pī, mā m̄ sī pān-huat. "
我寒甲起雞母皮。,Guá kuânn kah khí-ke-bó-phuê. 
沙龍巴斯貼久嘛會起藥蛆。,Sa-long-pa-suh tah-kú mā ē khí-io̍h-tshi. 
貢獻禮物,kòng-hiàn lé-bu̍t
伊貢獻伊的一生去幫助青盲的人。,I kòng-hiàn i ê it-sing khì pang-tsōo tshenn-mê ê lâng. 
有真濟人對伊足迷戀的。,Ū tsin tsē lâng tuì i tsiok bê-luân--ê. 
食飯配菜。,Tsia̍h pn̄g phuè tshài. 
一命配一命。,Tsi̍t miā phuè tsi̍t miā. 
這兩色無配。,Tsit nn̄g sik bô phuè. 
配角,phuè-kak
共這幅圖釘佇這面壁。,Kā tsit pak tôo tìng tī tsit bīn piah. 
釘釘仔,tìng ting-á
針線,tsiam-suànn
你注幾針？,Lí tsù kuí tsiam? 
紩兩針,thīnn nn̄g tsiam
你莫共我針。,Lí mài kā guá tsiam. 
秒針,bió-tsiam
你閃邊仔啦！,Lí siám pinn--á--lah! 
相閃車,sio-siám-tshia
閃著腰,siám tio̍h io
金光閃閃,kim kong siám-siám
閃爍,siám-sih
病院,pēnn-īnn
法院,huat-īnn
行政院,hîng-tsìng-īnn
啥物時陣？,Siánn-mih sî-tsūn? 
這陣,tsit-tsūn
一陣風,tsi̍t tsūn hong
一陣一陣,tsi̍t-tsūn-tsi̍t-tsūn
一陣人,tsi̍t tīn lâng
鬥陣來去,tàu-tīn lâi-khì
佈陣,pòo tīn
陣頭,tīn-thâu
除掉,tî-tiāu
排除,pâi-tû
用三除十二得四。,Īng sann tû tsa̍p-jī tik sì. 
一隻貓,tsi̍t tsiah niau
三隻船,sann tsiah tsûn
鳥隻,tsiáu-tsiah
船隻,tsûn-tsiah
枵過飢,iau kuè ki
騎馬,khiâ bé
馬車,bé-tshia
馬文才,Má Bûn-tsâi
骨架,kut-kè
高級,ko-kip
決鬥,kuat-tàu
戰鬥,tsiàn-tàu
窗仔鬥無峇。,Thang-á tàu bô bā. 
鬥榫,tàu-sún
鬥跤手,tàu-kha-tshiú
鬥做,tàu tsò
鬥緊的,tàu kín--ê
鬥久的,tàu kú--ê
𪜶兩人鬥欲佬人的錢。,In nn̄g lâng tàu beh láu lâng ê tsînn. 
孤魂野鬼,koo hûn iá kuí
鬼頭鬼腦,kuí-thâu-kuí-náu
伊做代誌真骨力。,I tsò tāi-tsì tsin kut-la̍t. 
我馬上就欲來走矣！,Guá má-siōng tō beh lâi tsáu--ah! 
你做人的馬仔，一世人都袂出脫。,"Lí tsò lâng ê bé-á, tsi̍t-sì-lâng to bē tshut-thuat. "
伊違反規定，去予主辦單位除名矣。,"I uî-huán kui-tīng, khì hōo tsú-pān tan-uī tû-miâ--ah. "
骨肉至親,kut-jio̍k tsì-tshin
昨暗伊閣佮朋友啉酒啉甲馬西馬西。,Tsa-àm i koh kah pîng-iú lim-tsiú lim kah má-se-má-se. 
伊欲佮你釘孤枝。,I beh kah lí tìng-koo-ki. 
伊的醫術真高明。,I ê i-su̍t tsin ko-bîng. 
有酒矸通賣無？,Ū tsiú-kan thang bē--bô? 
𪜶兩个鬥空欲騙你的錢，你閣毋知！,"In nn̄g ê tàu-khang beh phiàn lí ê tsînn, lí koh m̄ tsai! "
鬥股做生理,tàu-kóo tsò-sing-lí
除非你答應，伊才肯共阮鬥相共。,"Tû-hui lí tah-ìng, i tsiah khíng kā guán tàu-sann-kāng. "
你敢有需要人共你鬥相共？,Lí kám ū su-iàu lâng kā lí tàu-sann-kāng? 
風颱咧欲來矣，真濟漁船仔攏駛入來港口閃風。,"Hong-thai teh-beh lâi--ah, tsin tsē hî-tsûn-á lóng sái ji̍p-lâi káng-kháu siám-hong. "
這个所在真閃風。,Tsit ê sóo-tsāi tsin siám-hong. 
牛頭馬面,gû-thâu bé-bīn
